id,title,objective,architect_refs,requirements,dependencies,target_components,db_impact,backend_impact,mercato_impact,scanner_impact,integration_impact,migration_impact,tests,acceptance_mapping,evidence,dod
P2-005,Goods Receipt correlation gate and re-evaluation,"Correlate GR by sourceInboundTU, store GR acceptance status per contributing source, gate Shipment posting, and re-evaluate on later messages.",P2 R25–P2 R26;P2 R35–P2 R36;P2 R31–P2 R32;P2 R33;P2 Wyjątki — `P2 R35`–`P2 R36`;P2 KROK 3;P2 KROK 4,FR-P2-13;FR-P2-14;FR-P2-17;FR-P2-18;FR-P5-16;INT-02;INT-03,P2-004;P1-014,Crossdock GR status;Shipment posting gate;wms_orchestration,Persist GR_PENDING/GR_ACCEPTED/GR_REJECTED per task/source and correlation.,Re-evaluate every inbound GR message; GR_REJECTED keeps gate unsatisfied without forcing Shipment POSTING_ERROR.,Supervisor can inspect contributing source GR statuses.,No direct Scanner decision.,INT-02 sends confirmedQty/damagedQty; INT-03 correlates sourceInboundTU/GR_SETTLEMENT_SOURCE; Inbound owns GR retry.,Reuse orchestration; do not move Inbound retry responsibility into Outbound.,GR correlation tests;gate aggregation tests;re-evaluation tests;contract tests;Playwright Supervisor GR gate visibility,TC-028;TC-030;TC-031;TC-038;TC-067,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey. Regression of accepted Inbound behavior for every touched shared Inventory/TU/warehouse/lock/orchestration primitive.",Shipment cannot post until all contributing source TUs are GR_ACCEPTED; later accepted message unblocks without manual data repair.
P2-006,Crossdock join into common Shipment/dispatch downstream,"Ensure CROSSDOCK lines/TUs join the same Shipment, carrier, ERP, manifest and settlement pipeline as P1 while preserving priority/SLA and mixed-channel completeness.",P2 R25–P2 R26;P2 R33;P2 R43;P1 R57;P1 R58;P1 R37–P1 R41;P1 R43–P1 R46,FR-P2-13;FR-P2-18;FR-P2-25;FR-P1-31;FR-P1-32;CON-04;CON-05,P2-005;P1-011;P1-012;P1-014;P1-015;P1-016,Shipment pipeline;CustomerOrder mixed-channel guard,Use same Shipment/TU/line relation and settlement records.,Mixed STANDARD+CROSSDOCK coverage uses one canonical completeness guard.,Normal Shipment operational UI.,No duplicate Scanner dispatch model.,"Same ERP/manifest paths as P1, with GR gate inserted.",No separate crossdock shipment schema.,mixed-channel grouping tests;allowPartial false mixed coverage;end-to-end crossdock dispatch;Playwright crossdock→Shipment→manifest,TC-028;TC-030;TC-031;TC-104;TC-105;TC-119;TC-122;TC-123;TC-124;TC-125;TC-126,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey.",Crossdock does not fork a second logistics lifecycle; mixed-channel order cannot dispatch partially when forbidden.
P3-001,Reservation Release before formal pick,"Implement cancellation/shortage release of Allocation and Inventory before formal physical confirmation, including line/order state effects and exact source-location race instruction.","P3 R1–P3 R2;P3 R3–P3 R4;P3 R5–P3 R6;P3 KROK 1, P4 KROK 1",FR-P3-01;FR-P3-02;FR-P3-03;INT-06,P1-004;P1-001;P1-016,Reservation Release service;Allocation;Inventory;Mercato/Scanner cancellation feedback,Persist release reason/correlation and exactly-once inventory effect.,Choose P3 only when formal pickedQty=0; cancel task/release reservation as required.,Supervisor cancellation entry/feedback.,"If physical movement occurred before formal scan, instruct return to exact source without creating PutBackTask.",INT-06 cancellation correlation.,No destructive legacy cleanup.,release state tests;inventory exactly-once tests;cancel task tests;Playwright pre-pick cancellation,TC-040;TC-041,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey. Regression of accepted Inbound behavior for every touched shared Inventory/TU/warehouse/lock/orchestration primitive.",Released stock is available once; no PutBackTask is created for true pre-pick release; line/order state is consistent.
P3-002,Reservation retention policy and automatic release timer,"Implement warehouse policy variants retain / auto-release-after-time / Supervisor decision, with configured time independent of priority/SLA.",P3 R9;P3 R10,FR-P3-05;FR-P3-06,P3-001,warehouse Outbound policy;scheduler/decision service,Persist policy/config and due timestamp/decision audit as needed.,Deterministic policy evaluation and idempotent scheduled release.,Supervisor decision UI for policy variant.,No Picker action unless task availability changes.,None external.,Use existing scheduler/config infrastructure where safe.,policy tests;timer/idempotency tests;priority/SLA independence;Playwright Supervisor retention decision,TC-112;TC-113,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey.",All three policy variants behave exactly as configured and repeated scheduler runs do not double-release.
P3-003,Cancellation race: physical movement before formal confirmation,"Handle the architect race window between source-location physical pick and scan into Picking TU, including exact-source return instruction and escalation to P4 once formal pickedQty exists.","P3 R7–P3 R8;P3 KROK 1, P4 KROK 1",FR-P3-04;INT-06,P3-001;P4-001,PickTask cancellation guard;Scanner picking state;cancellation router,Persist enough correlation to distinguish formal pickedQty from pre-scan physical movement.,Atomic cancellation decision chooses P3 vs P4 from authoritative pickedQty.,Supervisor sees selected recovery path.,Picker receives exact source-location return instruction in pre-scan race.,INT-06 cancellation router.,No new business state beyond source-defined paths.,race concurrency tests;router tests;Playwright cancellation during pick window,TC-042;TC-043,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey.",No ambiguous recovery: pickedQty=0 uses P3 race instruction; pickedQty>0 routes to P4.
P4-001,Post-pick/post-pack cancellation approval and logical effects,"Implement approval/boundary rules for cancellation after formal pick, with immediate logical cancellation/release and block at/after architect dispatch boundary.","P4 R1–P4 R2;P4 R3–P4 R4;P3 KROK 1, P4 KROK 1",FR-P4-01;FR-P4-02;INT-06,P1-014;P1-015;P1-016,cancellation router;CustomerOrder/Line;OutboundOrder/Line;Shipment,"Persist approval/correlation, logical cancellation and recovery quantity.",Enforce packed Supervisor approval and POSTING_PENDING/manifest boundaries.,Supervisor cancellation action with explicit blocked reason.,"Scanner receives PutBackTask later, not cancellation authority.",INT-06 cancellation correlation.,Supersede legacy coarse cancellation shortcuts.,boundary tests;approval tests;duplicate cancellation tests;Playwright packed cancellation allowed/blocked,TC-050;TC-051;TC-053,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey.",Logical state changes immediately when allowed; forbidden late cancellation is rejected visibly; recovery quantity is preserved for P4 task.
P4-002,"PutBackTask model, FIFO assignment and task lifecycle",Create PutBackTask for pickedQty>0 and assign through RF module with source-defined lifecycle and FIFO behavior.,P4 R5–P4 R6;P4 R9,FR-P4-03;FR-P4-05,P4-001;FND-003,PutBackTask backend;Scanner module assignment,"Persist task source material/TU, proposed location, operator, status and timestamps.","FIFO assignment, single-active-task guard and state transition service.",Supervisor task visibility.,Operator enters PutBack module and receives next task; no zone selection.,None external.,"Reuse generic task/lock patterns, not Inbound Putaway business states.",task creation tests;FIFO/parallel assignment tests;state tests;Playwright PutBack task assignment,TC-050;TC-051;TC-052;TC-100,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey. Regression of accepted Inbound behavior for every touched shared Inventory/TU/warehouse/lock/orchestration primitive.",Every eligible picked cancellation creates exactly one recoverable task and assignment cannot duplicate work.
P4-003,RF PutBack location validation loop and Inventory recovery,"Implement proposed/operator destination scan, invalid-location rejection loop with no auto escalation, completion and Inventory PICKED→AVAILABLE recovery.",P4 R5–P4 R6;P4 R7–P4 R8;P4 R9,FR-P4-03;FR-P4-04;FR-P4-05,P4-002,Scanner PutBack journey;location validation;Inventory ledger,Persist validation attempts/completion and exactly-once stock movement.,Validate destination server-side and settle inventory only on successful completion.,Operational completion visibility.,Normal scan flow supports repeated invalid location attempts until valid.,None external.,Reuse warehouse location primitives; keep Inbound Putaway semantics untouched.,location validation tests;retry loop tests;inventory ledger tests;Playwright invalid→invalid→valid completion,TC-050;TC-051;TC-052;TC-100,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey. Regression of accepted Inbound behavior for every touched shared Inventory/TU/warehouse/lock/orchestration primitive.","Invalid location never completes/moves stock; valid completion returns exact quantity AVAILABLE once, with no automatic escalation invented."
X-001,Enforce CON-01..05 concurrency and exactly-once business effects,"Apply explicit transactions, row/advisory locks, unique constraints and idempotency keys at every authoritative boundary named by the concurrency requirements.","P1 R4–P1 R6, P1 R52;P1 R10;P2 R6, P2 R29–P2 R30;P1 R37–P1 R41;P1 R43–P1 R46",CON-01;CON-02;CON-03;CON-04;CON-05,P1-004;P1-011;P1-014;P1-015;P2-002,DB transaction boundaries;Inventory;Shipment;Crossdock;ERP/manifest effects,Add required unique indexes/locking strategy/idempotency records and failure-safe transactions.,Centralize guards in owning services; clients cannot bypass them.,Only surface deterministic conflict/retry feedback.,Scanner handles conflict response and recovers safely without local business override.,ERP/manifest duplicates are safe.,Additive migration with stress tests before any legacy cutover.,parallel ATP tests;PickTask immutability tests;crossdock double-assignment race;Shipment grouping race;ERP/manifest duplicate tests,,Test names + commit SHA + migration/schema evidence + persisted-state assertions; no secrets in evidence. Regression of accepted Inbound behavior for every touched shared Inventory/TU/warehouse/lock/orchestration primitive.,All five CON requirements have an executable race/idempotency test that fails without the guard and passes with it.
X-002,"Integration correlation, observability and operational recovery","Standardize correlation IDs, durable integration facts, safe error visibility and operational audit across INT-01..06 without moving business responsibility across bounded contexts.","P2 KROK 1;P2 KROK 3;P2 KROK 4;P1 KROK 13;P3 KROK 1, P4 KROK 1",INT-01;INT-02;INT-03;INT-04;INT-05;INT-06,FND-002;P1-014;P2-005;P3-001;P4-001,wms_orchestration;integration adapters;Mercato diagnostics,Persist correlation/idempotency/attempt status but not secrets or raw unnecessary payloads.,Adapters expose bounded-context contracts and deterministic recovery state.,Supervisor can inspect only architect-required operational status/errors.,"Scanner sees actionable errors for user flows, not integration internals.",INT-01..06 exact contract ownership; Inbound keeps GR retry.,Reuse orchestration foundation and preserve accepted Inbound event delivery.,contract suite INT-01..06;correlation tests;retry/error observability;integration regression,,Test names + commit SHA + migration/schema evidence + persisted-state assertions; no secrets in evidence. Regression of accepted Inbound behavior for every touched shared Inventory/TU/warehouse/lock/orchestration primitive.,Every integration message can be correlated to business object/effect and safely retried/diagnosed without duplicate business outcome.
ACC-001,Complete automated component/integration requirement suite,"Provide executable automated coverage for every one of the 109 requirements before final user acceptance, including state, quantity, transaction and integration behavior.","P1 R1–P1 R2;P1 R3–P1 R4;P1 R5–P1 R6;P1 R7–P1 R8;P1 R9–P1 R10;P1 R11–P1 R12;P1 R13–P1 R14;P1 R15–P1 R16;P1 R17–P1 R18;P1 R19–P1 R20;P1 R21–P1 R22;P1 R23–P1 R24;P1 R25–P1 R26;P1 R27–P1 R28;P1 R29–P1 R30;P1 R31–P1 R32;P1 R33–P1 R34;P1 R35–P1 R36;P1 R37–P1 R38;P1 R39–P1 R40;P1 R41–P1 R42;P1 R43–P1 R44;P1 R45–P1 R46;P1 R47–P1 R48;P1 R49–P1 R50;P1 R51–P1 R52;P1 Funkcja ciągła F1;P1 R53;P1 R54, P1 R56;P1 R55;P1 R57;P1 R58;P1 R59;P1 R60;P1 R61;P1 R62;P1 R63;P1 R64;P1 R65;P1 R66;P1 R67;P1 R68;P1 R69;P1 R70;P1 R71;P1 R72;P2 R1–P2 R2;P2 R3–P2 R4;P2 R5–P2 R6;P2 R7–P2 R8;P2 R9–P2 R10;P2 R11–P2 R12;P2 R13–P2 R14;P2 R15–P2 R16;P2 R17, P2 R18, P2 R37;P2 R19–P2 R20;P2 R21–P2 R22;P2 R23–P2 R24;P2 R25–P2 R26;P2 R35–P2 R36;P2 R28;P2 R29–P2 R30;P2 R31–P2 R32;P2 R33;P2 R34;P2 R39;P2 R40;P2 R41;P2 R42;P2 R43;P3 R1–P3 R2;P3 R3–P3 R4;P3 R5–P3 R6;P3 R7–P3 R8;P3 R9;P3 R10;P4 R1–P4 R2;P4 R3–P4 R4;P4 R5–P4 R6;P4 R7–P4 R8;P4 R9;P1 Wyjątki — `SHORT_ALLOCATED`, `allowPartialShipment = false`;P1 Wyjątki — `SHORT_ALLOCATED`, `allowPartialShipment = true`;P1 Wyjątki — `SHORT_PICKED`;P1 Wyjątki — `SHORT_PICKED`, `allowPartialShipment = false`, wynik „czekamy”;P1 Wyjątki — `SHORT_PICKED`, `allowPartialShipment = false`, wynik „anulowanie”;P1 Wyjątki — trwała zmiana `allowPartialShipment`;P1 Wyjątki — brak lub uszkodzenie przy „repack by SKU”;P1 Wyjątki — `CustomerOrder.ON_HOLD`;P1 Wyjątki — żądanie anulowania `CustomerOrder` lub `CustomerOrderLine`;P1 Wyjątki — brak wyniku Carrier Selection;P1 Wyjątki — błąd etykiety lub odrzucenie przez przewoźnika;P2 Wyjątki — niedobór lub `DAMAGED`, `allowPartialShipment = false`;P2 Wyjątki — niedobór lub `DAMAGED`, `allowPartialShipment = true`;P2 Wyjątki — puste `TU`;P2 Wyjątki — ogólne anulowanie przy `CrossDockPickTask IN_PROGRESS`;P2 Wyjątki — `P2 R35`–`P2 R36`;P1 Wyjątki — P5 E17;P2 KROK 1;P2 KROK 3;P2 KROK 4;P1 KROK 13;P3 KROK 1, P4 KROK 1;P1 R4–P1 R6, P1 R52;P1 R10;P2 R6, P2 R29–P2 R30;P1 R37–P1 R41;P1 R43–P1 R46",FR-P1-01;FR-P1-02;FR-P1-03;FR-P1-04;FR-P1-05;FR-P1-06;FR-P1-07;FR-P1-08;FR-P1-09;FR-P1-10;FR-P1-11;FR-P1-12;FR-P1-13;FR-P1-14;FR-P1-15;FR-P1-16;FR-P1-17;FR-P1-18;FR-P1-19;FR-P1-20;FR-P1-21;FR-P1-22;FR-P1-23;FR-P1-24;FR-P1-25;FR-P1-26;FR-P1-27;FR-P1-28;FR-P1-29;FR-P1-30;FR-P1-31;FR-P1-32;FR-P1-33;FR-P1-34;FR-P1-35;FR-P1-36;FR-P1-37;FR-P1-38;FR-P1-39;FR-P1-40;FR-P1-41;FR-P1-42;FR-P1-43;FR-P1-44;FR-P1-45;FR-P1-46;FR-P2-01;FR-P2-02;FR-P2-03;FR-P2-04;FR-P2-05;FR-P2-06;FR-P2-07;FR-P2-08;FR-P2-09;FR-P2-10;FR-P2-11;FR-P2-12;FR-P2-13;FR-P2-14;FR-P2-15;FR-P2-16;FR-P2-17;FR-P2-18;FR-P2-19;FR-P2-21;FR-P2-22;FR-P2-23;FR-P2-24;FR-P2-25;FR-P3-01;FR-P3-02;FR-P3-03;FR-P3-04;FR-P3-05;FR-P3-06;FR-P4-01;FR-P4-02;FR-P4-03;FR-P4-04;FR-P4-05;FR-P5-01;FR-P5-02;FR-P5-03;FR-P5-04;FR-P5-05;FR-P5-06;FR-P5-07;FR-P5-08;FR-P5-09;FR-P5-10;FR-P5-11;FR-P5-12;FR-P5-13;FR-P5-14;FR-P5-15;FR-P5-16;FR-P5-17;INT-01;INT-02;INT-03;INT-04;INT-05;INT-06;CON-01;CON-02;CON-03;CON-04;CON-05,FND-001;FND-002;FND-003;P1-001;P1-002;P1-003;P1-004;P1-005;P1-006;P1-007;P1-008;P1-009;P1-010;P1-011;P1-012;P1-013;P1-014;P1-015;P1-016;P2-001;P2-002;P2-003;P2-004;P2-005;P2-006;P3-001;P3-002;P3-003;P4-001;P4-002;P4-003;X-001;X-002,Mercato tests;Scanner tests;DB integration tests;contract tests,Test fixtures may use controlled test data only; verify migrations and constraints.,All domain/integration requirements have named executable tests.,Mercato component tests for user-visible states/actions.,Scanner component/integration tests for RF flows.,INT/CON automated contract/race coverage.,Migration/cutover and Inbound regression included.,109/109 requirement-to-test automated coverage check;all affected repo test suites;migration verification;Inbound regression,TC-001;TC-002;TC-003;TC-004;TC-005;TC-006;TC-007;TC-008;TC-009;TC-010;TC-020;TC-021;TC-022;TC-023;TC-024;TC-025;TC-026;TC-027;TC-028;TC-029;TC-030;TC-031;TC-032;TC-033;TC-034;TC-035;TC-036;TC-037;TC-038;TC-039;TC-040;TC-041;TC-042;TC-043;TC-050;TC-051;TC-052;TC-053;TC-060;TC-061;TC-062;TC-063;TC-064;TC-065;TC-066;TC-067;TC-081;TC-092;TC-096;TC-097;TC-098;TC-099;TC-100;TC-101;TC-102;TC-103;TC-104;TC-105;TC-106;TC-107;TC-108;TC-109;TC-110;TC-111;TC-112;TC-113;TC-114;TC-115;TC-116;TC-117;TC-118;TC-119;TC-120;TC-121;TC-122;TC-123;TC-124;TC-125;TC-126;TC-127;TC-128;TC-129;TC-130;TC-131;TC-132;TC-133;TC-134;TC-135,Test names + commit SHA + migration/schema evidence + persisted-state assertions; no secrets in evidence.,Machine-readable matrix has zero requirement orphans; all automated suites pass on the target commits.
ACC-002,Playwright Standard Fulfillment + P1 exception journeys,Prove through the normal Mercato/Scanner UI that Standard Fulfillment and P1 exception/recovery paths are usable by real roles.,"P1 R1–P1 R2;P1 R3–P1 R4;P1 R5–P1 R6;P1 R7–P1 R8;P1 R9–P1 R10;P1 R11–P1 R12;P1 R13–P1 R14;P1 R15–P1 R16;P1 R17–P1 R18;P1 R19–P1 R20;P1 R21–P1 R22;P1 R23–P1 R24;P1 R25–P1 R26;P1 R27–P1 R28;P1 R29–P1 R30;P1 R31–P1 R32;P1 R33–P1 R34;P1 R35–P1 R36;P1 R37–P1 R38;P1 R39–P1 R40;P1 R41–P1 R42;P1 R43–P1 R44;P1 R45–P1 R46;P1 R47–P1 R48;P1 R49–P1 R50;P1 R51–P1 R52;P1 Funkcja ciągła F1;P1 R53;P1 R54, P1 R56;P1 R55;P1 R57;P1 R58;P1 R59;P1 R60;P1 R61;P1 R62;P1 R63;P1 R64;P1 R65;P1 R66;P1 R67;P1 R68;P1 R69;P1 R70;P1 R71;P1 R72;P1 Wyjątki — `SHORT_ALLOCATED`, `allowPartialShipment = false`;P1 Wyjątki — `SHORT_ALLOCATED`, `allowPartialShipment = true`;P1 Wyjątki — `SHORT_PICKED`;P1 Wyjątki — `SHORT_PICKED`, `allowPartialShipment = false`, wynik „czekamy”;P1 Wyjątki — `SHORT_PICKED`, `allowPartialShipment = false`, wynik „anulowanie”;P1 Wyjątki — trwała zmiana `allowPartialShipment`;P1 Wyjątki — brak lub uszkodzenie przy „repack by SKU”;P1 Wyjątki — `CustomerOrder.ON_HOLD`;P1 Wyjątki — żądanie anulowania `CustomerOrder` lub `CustomerOrderLine`;P1 Wyjątki — brak wyniku Carrier Selection;P1 Wyjątki — błąd etykiety lub odrzucenie przez przewoźnika;P1 Wyjątki — P5 E17;P1 KROK 13;P3 KROK 1, P4 KROK 1;P1 R4–P1 R6, P1 R52;P1 R10;P1 R37–P1 R41;P1 R43–P1 R46",FR-P1-01;FR-P1-02;FR-P1-03;FR-P1-04;FR-P1-05;FR-P1-06;FR-P1-07;FR-P1-08;FR-P1-09;FR-P1-10;FR-P1-11;FR-P1-12;FR-P1-13;FR-P1-14;FR-P1-15;FR-P1-16;FR-P1-17;FR-P1-18;FR-P1-19;FR-P1-20;FR-P1-21;FR-P1-22;FR-P1-23;FR-P1-24;FR-P1-25;FR-P1-26;FR-P1-27;FR-P1-28;FR-P1-29;FR-P1-30;FR-P1-31;FR-P1-32;FR-P1-33;FR-P1-34;FR-P1-35;FR-P1-36;FR-P1-37;FR-P1-38;FR-P1-39;FR-P1-40;FR-P1-41;FR-P1-42;FR-P1-43;FR-P1-44;FR-P1-45;FR-P1-46;FR-P5-01;FR-P5-02;FR-P5-03;FR-P5-04;FR-P5-05;FR-P5-06;FR-P5-07;FR-P5-08;FR-P5-09;FR-P5-10;FR-P5-11;FR-P5-17;INT-04;INT-05;INT-06;CON-01;CON-02;CON-04;CON-05,ACC-001,Playwright Mercato;Playwright Scanner;test fixtures/evidence,DB/API only for deterministic setup or persisted assertions; not to replace accepted UI actions.,Expose deterministic fixture/evidence hooks only when they do not bypass business behavior.,Click full order/planning/packing/shipment/carrier/ERP/manifest and Supervisor exception surfaces.,"Scan/click picking, TU, short-pick and relevant recovery surfaces.",Exercise posting retry and cancellation boundary through UI-visible state.,No production data migration; isolated test fixtures.,Playwright journeys 1–14 from Evidence Standard plus partial/multi-shipment exceptions;cross-browser smoke where supported,TC-001;TC-002;TC-003;TC-004;TC-005;TC-006;TC-007;TC-008;TC-009;TC-010;TC-060;TC-061;TC-062;TC-063;TC-064;TC-065;TC-066;TC-096;TC-097;TC-098;TC-104;TC-105;TC-106;TC-107;TC-108;TC-109;TC-110;TC-111;TC-114;TC-115;TC-116;TC-117;TC-118;TC-120;TC-121;TC-122;TC-123;TC-124;TC-125;TC-126;TC-127;TC-128;TC-129;TC-130;TC-131;TC-132;TC-133;TC-135,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey.","Tests traverse normal application surfaces, record visible+persistent outcomes and leave a reproducible next human action for every journey."
ACC-003,"Playwright Crossdock, Reservation Release and Physical Putback journeys","Prove P2/P3/P4 through normal Scanner/Mercato UI, including n:n sorting, GR gate, cancellation race and invalid-location loop.","P2 R1–P2 R2;P2 R3–P2 R4;P2 R5–P2 R6;P2 R7–P2 R8;P2 R9–P2 R10;P2 R11–P2 R12;P2 R13–P2 R14;P2 R15–P2 R16;P2 R17, P2 R18, P2 R37;P2 R19–P2 R20;P2 R21–P2 R22;P2 R23–P2 R24;P2 R25–P2 R26;P2 R35–P2 R36;P2 R28;P2 R29–P2 R30;P2 R31–P2 R32;P2 R33;P2 R34;P2 R39;P2 R40;P2 R41;P2 R42;P2 R43;P2 Wyjątki — niedobór lub `DAMAGED`, `allowPartialShipment = false`;P2 Wyjątki — niedobór lub `DAMAGED`, `allowPartialShipment = true`;P2 Wyjątki — puste `TU`;P2 Wyjątki — ogólne anulowanie przy `CrossDockPickTask IN_PROGRESS`;P2 Wyjątki — `P2 R35`–`P2 R36`;P3 R1–P3 R2;P3 R3–P3 R4;P3 R5–P3 R6;P3 R7–P3 R8;P3 R9;P3 R10;P4 R1–P4 R2;P4 R3–P4 R4;P4 R5–P4 R6;P4 R7–P4 R8;P4 R9;P2 KROK 1;P2 KROK 3;P2 KROK 4;P3 KROK 1, P4 KROK 1;P2 R6, P2 R29–P2 R30;P1 R43–P1 R46",FR-P2-01;FR-P2-02;FR-P2-03;FR-P2-04;FR-P2-05;FR-P2-06;FR-P2-07;FR-P2-08;FR-P2-09;FR-P2-10;FR-P2-11;FR-P2-12;FR-P2-13;FR-P2-14;FR-P2-15;FR-P2-16;FR-P2-17;FR-P2-18;FR-P2-19;FR-P2-21;FR-P2-22;FR-P2-23;FR-P2-24;FR-P2-25;FR-P5-12;FR-P5-13;FR-P5-14;FR-P5-15;FR-P5-16;FR-P3-01;FR-P3-02;FR-P3-03;FR-P3-04;FR-P3-05;FR-P3-06;FR-P4-01;FR-P4-02;FR-P4-03;FR-P4-04;FR-P4-05;INT-01;INT-02;INT-03;INT-06;CON-03;CON-05,ACC-001;P2-006;P3-003;P4-003,Playwright Scanner;Playwright Mercato;integration test fixtures,Controlled Inbound/source TU and stock fixtures; persisted quantity assertions.,Fixture endpoints if required remain test-only and cannot replace acceptance action.,Supervisor crossdock GR/cancellation visibility.,"Scan/click crossdock task, shortage/damage/empty, release feedback and PutBack loops.",Exercise INT-01..03/06 boundary with deterministic stubs/test endpoints while UI remains real.,No destructive Inbound data changes; regression environment isolated.,Playwright journeys 15–20 from Evidence Standard;crossdock 1:1 and n:n;GR pending/rejected/accepted re-evaluation;P3/P4 cancellation recovery,TC-020;TC-021;TC-022;TC-023;TC-024;TC-025;TC-026;TC-027;TC-028;TC-029;TC-030;TC-031;TC-032;TC-033;TC-034;TC-035;TC-036;TC-037;TC-038;TC-039;TC-040;TC-041;TC-042;TC-043;TC-050;TC-051;TC-052;TC-053;TC-067;TC-081;TC-092;TC-099;TC-100;TC-101;TC-102;TC-103;TC-112;TC-113;TC-119;TC-121;TC-134,"Playwright trace/screenshots/video where useful, visible identifiers, persisted server/DB assertion, and Human Verified walkthrough record for the affected user journey.",Each architect journey is traversable end-to-end by intended role; quantities and states reconcile after the UI flow.
